SampleID,Sex,Prenatal_exposure,Amount_grams,EIGC_ID
RJO2,M,Control,0.0865,RJO12354
RJO3,M,Control,0.094,RJO12354
RJO5,M,Control,0.0985,RJO12354
RJO6,M,Control,0.049,RJO12354
RJO7,M,Control,0.0652,RJO12354
RJO8,M,Control,0.0493,RJO12354
RJO9,M,Control,0.0521,RJO12354
RJO10,M,Control,0.0475,RJO12354
RJO11,M,Butyrate,0.0885,RJO12354
RJO12,M,Butyrate,0.0803,RJO12354
RJO13,M,Butyrate,0.0833,RJO12354
RJO14,M,Butyrate,0.0753,RJO12354
RJO15,M,Butyrate,0.0775,RJO12354
RJO16,M,Butyrate,0.0787,RJO12354
RJO17,M,Butyrate,0.0937,RJO12354
RJO18,M,Butyrate,0.076,RJO12354
RJO19,M,Butyrate,0.0571,RJO12354
